code_article,code_site,date,ventes
42,Site1,2026-02-09,9.0
42,Site1,2026-02-16,9.0
42,Site1,2026-02-23,9.0
42,Site1,2026-03-02,9.0
42,Site1,2026-03-09,9.0
42,Site1,2026-03-16,9.0
42,Site1,2026-03-23,9.0
42,Site1,2026-03-30,9.0
42,Site1,2026-04-06,7.2
42,Site1,2026-04-13,7.2
42,Site1,2026-04-20,7.2
42,Site1,2026-04-27,7.2
42,Site1,2026-05-04,9.25
42,Site1,2026-05-11,9.25
42,Site1,2026-05-18,9.25
42,Site1,2026-05-25,9.25
42,Site1,2026-06-01,9.25
42,Site1,2026-06-08,9.25
42,Site1,2026-06-15,9.25
42,Site1,2026-06-22,9.25
42,Site1,2026-06-29,9.25
42,Site1,2026-07-06,7.4
42,Site1,2026-07-13,7.4
42,Site1,2026-07-20,7.4
42,Site1,2026-07-27,7.4
42,Site1,2026-08-03,9.25
42,Site1,2026-08-10,9.25
42,Site1,2026-08-17,9.25
42,Site1,2026-08-24,9.25
42,Site1,2026-08-31,9.25
42,Site1,2026-09-07,7.4
42,Site1,2026-09-14,7.4
42,Site1,2026-09-21,7.4
42,Site1,2026-09-28,7.4
42,Site1,2026-10-05,9.25
42,Site1,2026-10-12,9.25
42,Site1,2026-10-19,9.25
42,Site1,2026-10-26,9.25
42,Site1,2026-11-02,9.25
42,Site1,2026-11-09,9.25
42,Site1,2026-11-16,9.25
42,Site1,2026-11-23,9.25
42,Site1,2026-11-30,9.25
42,Site1,2026-12-07,7.4
42,Site1,2026-12-14,7.4
42,Site1,2026-12-21,7.4
42,Site1,2026-12-28,7.4
43,Site1,2026-02-09,66.25
43,Site1,2026-02-16,66.25
43,Site1,2026-02-23,66.25
43,Site1,2026-03-02,101.5
43,Site1,2026-03-09,101.5
43,Site1,2026-03-16,101.5
43,Site1,2026-03-23,101.5
43,Site1,2026-03-30,101.5
43,Site1,2026-04-06,53.4
43,Site1,2026-04-13,53.4
43,Site1,2026-04-20,53.4
43,Site1,2026-04-27,53.4
43,Site1,2026-05-04,87.0
43,Site1,2026-05-11,87.0
43,Site1,2026-05-18,87.0
43,Site1,2026-05-25,87.0
43,Site1,2026-06-01,67.25
43,Site1,2026-06-08,67.25
43,Site1,2026-06-15,67.25
43,Site1,2026-06-22,67.25
