annee_sem,code_article,code_site,ventes,appros,stock,ventes_prev,couverture,stock_init,ventes_cum,appros_cum
2026-07,42,Site1,9.0,0.0,245.0,9.0,27.22,254.0,9.0,0.0
2026-08,42,Site1,9.0,0.0,236.0,9.0,26.22,254.0,18.0,0.0
2026-09,42,Site1,9.0,0.0,227.0,9.0,25.22,254.0,27.0,0.0
2026-10,42,Site1,9.0,0.0,218.0,9.0,24.22,254.0,36.0,0.0
2026-11,42,Site1,9.0,0.0,209.0,9.0,23.22,254.0,45.0,0.0
2026-12,42,Site1,9.0,0.0,200.0,9.0,22.22,254.0,54.0,0.0
2026-13,42,Site1,9.0,0.0,191.0,9.0,21.22,254.0,63.0,0.0
2026-14,42,Site1,9.0,0.0,182.0,9.0,20.22,254.0,72.0,0.0
2026-15,42,Site1,7.2,0.0,174.8,8.8,19.86,254.0,79.2,0.0
2026-16,42,Site1,7.2,0.0,167.6,8.64,19.4,254.0,86.4,0.0
2026-17,42,Site1,7.2,0.0,160.4,8.51,18.85,254.0,93.6,0.0
2026-18,42,Site1,7.2,0.0,153.2,8.4,18.24,254.0,100.8,0.0
2026-19,42,Site1,9.25,0.0,143.95,8.47,17.0,254.0,110.05,0.0
2026-20,42,Site1,9.25,0.0,134.7,8.52,15.81,254.0,119.3,0.0
2026-21,42,Site1,9.25,0.0,125.45,8.57,14.64,254.0,128.55,0.0
2026-22,42,Site1,9.25,0.0,116.2,8.61,13.5,254.0,137.8,0.0
2026-23,42,Site1,9.25,0.0,106.95,8.65,12.36,254.0,147.05,0.0
2026-24,42,Site1,9.25,0.0,97.7,8.68,11.26,254.0,156.3,0.0
2026-25,42,Site1,9.25,0.0,88.45,8.71,10.15,254.0,165.55,0.0
2026-26,42,Site1,9.25,0.0,79.2,8.74,9.06,254.0,174.8,0.0
2026-27,42,Site1,9.25,0.0,69.95,8.76,7.99,254.0,184.05,0.0
2026-28,42,Site1,7.4,0.0,62.55,8.7,7.19,254.0,191.45,0.0
2026-29,42,Site1,7.4,0.0,55.15,8.65,6.38,254.0,198.85,0.0
2026-30,42,Site1,7.4,0.0,47.75,8.59,5.56,254.0,206.25,0.0
2026-31,42,Site1,7.4,0.0,40.35,8.55,4.72,254.0,213.65,0.0
2026-32,42,Site1,9.25,0.0,31.1,8.57,3.63,254.0,222.9,0.0
2026-33,42,Site1,9.25,0.0,21.85,8.6,2.54,254.0,232.15,0.0
2026-34,42,Site1,9.25,0.0,12.6,8.62,1.46,254.0,241.4,0.0
2026-35,42,Site1,9.25,0.0,3.35,8.64,0.39,254.0,250.65,0.0
2026-36,42,Site1,9.25,0.0,-5.9,8.66,-0.68,254.0,259.9,0.0
