code_article,code_site,quantite
00042,Site1,254.0
00043,Site1,785.0
00062,Site1,307.0
00364,Site1,1161.0
00514,Site1,5145.0
00584,Site1,2683.0
00585,Site1,2943.0
00586,Site1,1198.0
00587,Site1,200.0
00588,Site1,1317.0
00670,Site1,2526.0
00728,Site1,509.0
00766,Site1,8687.0
00804,Site1,485.0
00825,Site1,1136.0
00833,Site1,1091.0
00835,Site3,897.5
00835,Site1,5267.0
00899,Site1,1049.0
00900,Site1,1121.0
00901,Site1,748.0
00902,Site1,282.0
00903,Site1,1334.0
00904,Site1,951.0
00927,Site1,910.0
00930,Site1,9988.0
00930,Site7,25.0
00945,Site1,1334.0
00973,Site1,15368.0
00974,Site1,14901.0
00975,Site1,19601.0
00976,Site1,4456.0
00977,Site1,8904.0
00978,Site1,6623.0
00979,Site1,3507.0
01056,Site1,978.0
01057,Site1,1041.0
01058,Site1,753.0
01059,Site1,614.0
01060,Site1,503.0
01061,Site1,175.0
01062,Site1,726.0
01064,Site1,136.0
01066,Site1,2149.0
01067,Site1,158.0
01089,Site1,1762.0
01092,Site1,393.0
01097,Site1,833.0
01127,Site1,321.0
01132,Site1,3015.0
01134,Site1,736.0
01152,Site1,1130.0
01153,Site1,11831.0
01165,Site1,406.0
01174,Site3,275.0
01290,Site4,217.0
01290,Site5,314.0
01290,Site1,4344.0
01291,Site5,513.0
01291,Site1,2822.0
01292,Site4,1026.0
01292,Site5,513.0
01292,Site1,4651.0
01341,Site1,29773.0
01342,Site1,7498.0
01345,Site1,623.0
01347,Site1,1220.0
01349,Site1,240.0
01350,Site1,78.0
01351,Site1,160.0
01352,Site1,2685.0
01353,Site1,1075.0
01354,Site1,181.0
01355,Site1,15978.0
01356,Site1,3507.0
01361,Site1,406.0
01364,Site1,630.0
01368,Site1,1515.8
01369,Site1,1153.0
01370,Site1,254.0
01371,Site1,1156.0
01388,Site3,694.5
01388,Site1,1840.0
01390,Site1,316.0
01435,Site3,4960.0
01437,Site5,202.0
01437,Site1,3935.0
01438,Site5,430.0
01438,Site1,3533.0
01441,Site1,962.0
01442,Site1,1176.0
01443,Site1,614.0
01444,Site1,1.0
01473,Site1,1940.0
01474,Site3,168.0
01474,Site1,3158.0
01477,Site1,1628.9167
01493,Site1,213.0
01497,Site1,149.0
01498,Site1,582.0
01499,Site1,637.0
01501,Site1,1.0
01502,Site1,360.834
01544,Site3,13683.0
01545,Site3,4454.0
01546,Site1,4184.0
01559,Site3,5371.0
01564,Site3,8246.0
01565,Site3,15.6132
01569,Site1,2983.85
01570,Site1,1389.0
01571,Site1,5244.0
01574,Site1,26673.0
01575,Site1,11779.0
01576,Site1,13721.0
01577,Site1,1195.0
01584,Site1,18896.0
01590,Site3,120.0
01591,Site1,400.0
01592,Site1,18139.0
01594,Site1,6306.0
01595,Site5,672.0
01595,Site1,9467.0
01596,Site5,240.0
01596,Site1,1661.0
01600,Site3,672.0
01602,Site3,16.0
01611,Site1,311.0
01612,Site1,2022.0
01616,Site1,40.0
01617,Site1,13.0
01618,Site1,764.0
01619,Site1,342.0
01620,Site1,810.0
01621,Site1,428.0
01622,Site1,595.0
01624,Site1,815.0
01626,Site1,525.0
01627,Site1,66.0
01628,Site1,1506.0
01629,Site1,644.0
01630,Site1,915.0
01631,Site1,3712.0
01632,Site3,140.0
01632,Site1,5911.0
01633,Site3,420.0
01633,Site1,5748.0
01634,Site1,6677.0
01635,Site1,1223.0
01636,Site1,2289.0
01637,Site1,333.0
01638,Site1,2624.0
01639,Site1,1180.0
01640,Site1,1386.0
01641,Site1,1556.0
01642,Site1,66.0
01644,Site1,71.0
01645,Site1,13.0
01646,Site1,51.0
01648,Site1,10853.0
01649,Site1,7037.0
01650,Site1,671.0
01655,Site1,2114.0
01656,Site1,25449.0
01657,Site1,38049.0
01658,Site1,33157.0
01659,Site1,6812.0
01660,Site1,317.0
01662,Site1,4304.0
01669,Site1,16483.0
01670,Site1,2028.0
01671,Site1,2528.0
01672,Site1,1000.0
01673,Site1,554.0
01674,Site1,690.0
01675,Site1,397.0
01676,Site1,90.0
01677,Site1,220.0
01678,Site1,319.0
01679,Site1,1936.0
01683,Site1,43200.0
01684,Site1,8836.0
01685,Site1,12060.0
01686,Site1,11940.0
01687,Site1,7513.0
01688,Site1,2964.0
01689,Site1,408.0
01690,Site7,1.0
01692,Site1,41.0
01697,Site1,132.0
01698,Site1,780.0
01699,Site1,7100.0
01700,Site1,191.0
01705,Site3,297.0
01710,Site1,127.0
01711,Site1,90.0
01712,Site1,45.0
01713,Site1,128.0
01715,Site1,12690.0
01716,Site1,400.0
01717,Site1,232.0
01718,Site1,467.0
01719,Site1,464.0
01756,Site1,261.0
01762,Site1,41.0
01766,Site1,3648.0
01768,Site1,188.0
01769,Site1,12.0
01778,Site1,985.0
01783,Site1,5000.0
01784,Site1,870.0
01785,Site1,870.0
01786,Site1,1000.0
01787,Site1,500.0
01788,Site1,1500.0
01789,Site1,1000.0
01801,Site1,5500.0
01802,Site1,200.0
01803,Site1,1540.0
01804,Site1,500.0
01805,Site1,500.0
01810,Site1,4870.0
01811,Site1,2000.0
