code_article,code_site,date,quantite
00042,Site1,2026-02-09,9.0
00042,Site1,2026-02-16,9.0
00042,Site1,2026-02-23,9.0
00042,Site1,2026-03-02,9.0
00042,Site1,2026-03-09,9.0
00042,Site1,2026-03-16,9.0
00042,Site1,2026-03-23,9.0
00042,Site1,2026-03-30,9.0
00042,Site1,2026-04-06,7.199999999999999
00042,Site1,2026-04-13,7.199999999999999
00042,Site1,2026-04-20,7.199999999999999
00042,Site1,2026-04-27,7.199999999999999
00042,Site1,2026-05-04,9.25
00042,Site1,2026-05-11,9.25
00042,Site1,2026-05-18,9.25
00042,Site1,2026-05-25,9.25
00042,Site1,2026-06-01,9.25
00042,Site1,2026-06-08,9.25
00042,Site1,2026-06-15,9.25
00042,Site1,2026-06-22,9.25
00042,Site1,2026-06-29,9.25
00042,Site1,2026-07-06,7.3999999999999995
00042,Site1,2026-07-13,7.3999999999999995
00042,Site1,2026-07-20,7.3999999999999995
00042,Site1,2026-07-27,7.3999999999999995
00042,Site1,2026-08-03,9.25
00042,Site1,2026-08-10,9.25
00042,Site1,2026-08-17,9.25
00042,Site1,2026-08-24,9.25
00042,Site1,2026-08-31,9.25
00042,Site1,2026-09-07,7.3999999999999995
00042,Site1,2026-09-14,7.3999999999999995
00042,Site1,2026-09-21,7.3999999999999995
00042,Site1,2026-09-28,7.3999999999999995
00042,Site1,2026-10-05,9.25
00042,Site1,2026-10-12,9.25
00042,Site1,2026-10-19,9.25
00042,Site1,2026-10-26,9.25
00042,Site1,2026-11-02,9.25
00042,Site1,2026-11-09,9.25
00042,Site1,2026-11-16,9.25
00042,Site1,2026-11-23,9.25
00042,Site1,2026-11-30,9.25
00042,Site1,2026-12-07,7.3999999999999995
00042,Site1,2026-12-14,7.3999999999999995
00042,Site1,2026-12-21,7.3999999999999995
00042,Site1,2026-12-28,7.3999999999999995
00043,Site1,2026-02-09,66.25
00043,Site1,2026-02-16,66.25
00043,Site1,2026-02-23,66.25
00043,Site1,2026-03-02,101.5
00043,Site1,2026-03-09,101.5
00043,Site1,2026-03-16,101.5
00043,Site1,2026-03-23,101.5
00043,Site1,2026-03-30,101.5
00043,Site1,2026-04-06,53.4
00043,Site1,2026-04-13,53.4
00043,Site1,2026-04-20,53.4
00043,Site1,2026-04-27,53.4
00043,Site1,2026-05-04,87.0
00043,Site1,2026-05-11,87.0
00043,Site1,2026-05-18,87.0
00043,Site1,2026-05-25,87.0
00043,Site1,2026-06-01,67.25
00043,Site1,2026-06-08,67.25
00043,Site1,2026-06-15,67.25
00043,Site1,2026-06-22,67.25
00043,Site1,2026-06-29,67.25
00043,Site1,2026-07-06,54.0
00043,Site1,2026-07-13,54.0
00043,Site1,2026-07-20,54.0
00043,Site1,2026-07-27,54.0
00043,Site1,2026-08-03,67.75
00043,Site1,2026-08-10,67.75
00043,Site1,2026-08-17,67.75
00043,Site1,2026-08-24,67.75
00043,Site1,2026-08-31,67.75
00043,Site1,2026-09-07,54.4
00043,Site1,2026-09-14,54.4
00043,Site1,2026-09-21,54.4
00043,Site1,2026-09-28,54.4
00043,Site1,2026-10-05,68.0
00043,Site1,2026-10-12,68.0
00043,Site1,2026-10-19,68.0
